,LOCALIZED,ISSN,ISSN.1,ISSN.2,ISBN,ISBN.1,ISBN.2,OTHER_SYSTEM_NUMBER,OTHER_SYSTEM_NUMBER.1,OTHER_SYSTEM_NUMBER.2,PORTFOLIO_PID,MMS,TITLE,FROM_YEAR,TO_YEAR,FROM_MONTH,TO_MONTH,FROM_DAY,TO_DAY,FROM_VOLUME,TO_VOLUME,FROM_ISSUE,TO_ISSUE,PUBLICATION_DATE_OPERATOR,PUBLICATION_DATE_YEAR,PUBLICATION_DATE_MONTH,GLOBAL_FROM_YEAR,GLOBAL_TO_YEAR,GLOBAL_FROM_MONTH,GLOBAL_TO_MONTH,GLOBAL_FROM_DAY,GLOBAL_TO_DAY,GLOBAL_FROM_VOLUME,GLOBAL_TO_VOLUME,GLOBAL_FROM_ISSUE,GLOBAL_TO_ISSUE,GLOBAL_PUBLICATION_DATE_OPERATOR,GLOBAL_PUBLICATION_DATE_YEAR,GLOBAL_PUBLICATION_DATE_MONTH,ACCESS_TYPE,PERPETUAL_FROM_YEAR,PERPETUAL_TO_YEAR,PERPETUAL_FROM_MONTH,PERPETUAL_TO_MONTH,PERPETUAL_FROM_DAY,PERPETUAL_TO_DAY,PERPETUAL_FROM_VOLUME,PERPETUAL_TO_VOLUME,PERPETUAL_FROM_ISSUE,PERPETUAL_TO_ISSUE,PERPETUAL_PUBLICATION_DATE_OPERATOR,PERPETUAL_PUBLICATION_DATE_YEAR,PERPETUAL_PUBLICATION_DATE_MONTH,AVAILABILITY,PUBLISHER,PLACE_OF_PUBLICATION,DATE_OF_PUBLICATION,URL,PARSER_PARAMETERS,PROXY_ENABLE,PROXY_SELECTED,PROXY_LEVEL,AUTHOR,ELECTRONIC_MATERIAL_TYPE,OWNERSHIP,GROUP_NAME,GROUP_FROM_YEAR,GROUP_TO_YEAR,GROUP_FROM_MONTH,GROUP_TO_MONTH,GROUP_FROM_DAY,GROUP_TO_DAY,GROUP_FROM_VOLUME,GROUP_TO_VOLUME,GROUP_FROM_ISSUE,GROUP_TO_ISSUE,GROUP_PUBLICATION_DATE_OPERATOR,GROUP_PUBLICATION_DATE_YEAR,GROUP_PUBLICATION_DATE_MONTH,GROUP_PROXY_ENABLE,GROUP_PROXY_SELECTED,GROUP_AUTHENTICATION_NOTES,GROUP_PUBLIC_NOTES,AUTHENTICATION_NOTES,PUBLIC_NOTES,INTERNAL_DESCRIPTION,COVERAGE_STATEMENT,ACTIVATION_DATE,EXPECTED_ACTIVATION_DATE,LICENSE,LICENSE_NAME,COLLECTION_LICENSE,COLLECTION_LICENSE_NAME,PDA,EBA,PO_LINE,LANGUAGE,COUNTER_PLATFORM,NOTES,MarkBuy
20,N,,,,9780128239544,0128239549,9780128239544,(OCoLC)on1281582659,(OCoLC)1281582659,(OCoLC)1287144139,53442855920002917,991023704147602917,"Hybrid enhanced oil recovery processes for heavy oil reservoirs / Xiaohu Dong, Huiqing Liu, Zhangxin Chen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2021.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/03767361/73,,False,,,"Dong, Xiaohu.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
21,N,,,,9781569908402,1569908419,9781569908419,(OCoLC)on1259588955,(OCoLC)1259588955,,53442855990002917,991023703950502917,Extrusion Blow Molding [electronic resource].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Hanser,",München :,2021.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569908402,,False,,,"Thielen, Michael.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,ger,,,
22,N,,,,9781569908341,1569908354,9781569908358,(OCoLC)on1256446997,(OCoLC)1256446997,(OCoLC)1249471040,53442856020002917,991023703950702917,"Injection molding advanced troubleshooting guide : the 4M approach / Randy Kerkstra, Steve Brammer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Hanser,",Munich :,[2021],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569908341,,False,,,"Kerkstra, Randy, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
23,N,,,,9781569906606,1569906610,9781569906613,(OCoLC)on1238211666,(OCoLC)1238211666,(OCoLC)1256446996,53442856050002917,991023703951202917,Rheology in polymer processing : modeling and simulation / Krzysztof Wilczynski.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Hanser Publishers,",Munich ; Cincinnati :,[2021],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569906606,,False,,,"Wilczyński, Krzysztof, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
24,N,,,,1569908311,156990832X,9781569908327,(OCoLC)on1240182665,(OCoLC)1240182665,(OCoLC)1255407310,53442856080002917,991023703950902917,Polyethylene : end-use properties and their physical meaning / Yury V. Kissin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Hanser Publishers,",Munich ; Cincinnati :,[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569908310,,False,,,"Kissin, Y. V.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
25,N,,,,9780128194836,0128194839,0128194847,(OCoLC)on1182601217,(OCoLC)1182601217,(OCoLC)1195819064,53442856110002917,991023704150202917,Studies in natural products chemistry. Volume 67 / edited by Atta-ur-Rahman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/15725995/67,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
26,N,,,,9780128179079,0128179082,9780128179086,(OCoLC)on1182633468,(OCoLC)1182633468,(OCoLC)1182878943,53442856140002917,991023704149602917,Studies in natural products chemistry. Volume 66 / edited by Atta-ur-Rahman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA :",2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/15725995/66,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
27,N,,,,0128150483,9780128150481,,(OCoLC)on1235822348,(OCoLC)1235822348,,53442856170002917,991023704149102917,Tectonic and Structural Framework of the Zagros Fold-Thrust Belt. Volume 3 [electronic resource].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,Elsevier,San Diego : Oxford :,Dec. 2018,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/25429000/3,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
28,N,,,,9780128238257,0128238399,9780128238394,(OCoLC)on1222941458,(OCoLC)1222941458,,53442856200002917,991023703951002917,2D/3D boundary element programming in petroleum engineering and geomechanics / Nobuo Morita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA, United States :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/03767361/70,,False,,,"Morita, Nobuo, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
29,N,,,,9780128176658,0128176660,9780128176665,(OCoLC)on1105557043,(OCoLC)1105557043,(OCoLC)1121638923,53442875430002917,991023703950402917,"Hydraulic fracturing in unconventional reservoirs : theories, operations, and economic analysis / Hoss Belyadi, Ebrahim Fathi, Fatemeh Belyadi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Gulf Professional Publishing,","Cambridge, MA, United States :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128176658,,False,,,"Belyadi, Hoss, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,Y
30,N,,,,1569908443,9781569908440,,(OCoLC)on1163632443,(OCoLC)1163632443,,53442875460002917,991023704147802917,"Understanding injection molds / Harry Pruner, Wolfgang Nesch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Hanser,",Munich :,[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569908433,,False,,,"Pruner, Harry, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
31,N,,,,1569907137,9781569907139,,(OCoLC)on1054128893,(OCoLC)1054128893,,53442875510002917,991023704149402917,"Simulations with NX : Simcenter 3D: Kinematics, FEA, CFD, EM and Data Management / Reiner Anderl, Peter Binde.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Carl Hanser Verlag GmbH & Co. KG,",München :,2018.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569907122,,False,,,"Anderl, R. author. (Reiner),",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
32,N,,,,9781569907146,1523120185,9781523120185,(OCoLC)on1053623257,(OCoLC)1053623257,,53442875540002917,991023704149902917,"Grippers in motion : the fascination of automated handling tasks / Andreas Wolf, Henrik Schunk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,Hanser Publishers ;,Munich : Cincinnati :,[2018],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9781569907146,,False,,,"Wolf, Andreas (Mechanical engineer), author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
33,N,,,,9780128157305,0128157305,0128165219,(OCoLC)on1102639032,(OCoLC)1102639032,(OCoLC)1229793275,53442875570002917,991023704150002917,Evaluating water quality to prevent future disasters / edited by Satinder Ahuja.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press,","Cambridge, MA :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/18771718/11,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
34,N,,,,9780128224793,0128224797,9780128224953,(OCoLC)on1285872353,(OCoLC)1285872353,(OCoLC)1285773226,53442875600002917,991023703950802917,"Advanced neuro MR techniques and applications / Edited by In-Young Choi, Peter Jezzard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London ; San Diego, CA :",[2021],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/26669099/4,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
35,N,,,,9780444639776,9780444639783,0444639780,(OCoLC)on1121477236,(OCoLC)1121477236,(OCoLC)1124462353,53442875620002917,991023704149702917,Hyperspectral imaging / [edited by] José Manuel Amigo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/09223487/32,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
36,N,,,,9780444641823,0444641823,9780444641816,(OCoLC)on1078153534,(OCoLC)1078153534,(OCoLC)1287882720,53442875660002917,991023704150302917,Studies in natural products chemistry. Volume 60 / edited by Atta-ur-Rahman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/15725995/60,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
